iter	RMSE
277	2.433458327
278	2.432995697
279	2.432689297
280	2.432394193
281	2.432041589
282	2.431654814
283	2.43137376
284	2.431018941
285	2.430625743
286	2.430114665
287	2.429903625
288	2.429546956
289	2.429092951
290	2.428645168
291	2.428432701
292	2.428096343
293	2.427538961
294	2.42727154
295	2.426905889
296	2.426264001
297	2.425823868
298	2.425521907
299	2.42537055
300	2.425052175
301	2.424837029
302	2.424411186
303	2.424184013
304	2.423837849
305	2.423301656
306	2.422890122
307	2.422603929
308	2.422375966
309	2.421966209
310	2.421754586
311	2.42119753
312	2.420859063
313	2.420463434
314	2.420028704
315	2.419728566
316	2.419264197
317	2.419023004
318	2.418627701
319	2.418429113
320	2.418278049
321	2.417930213
322	2.417656223
323	2.417339342
324	2.417032361
325	2.416891821
326	2.41647585
327	2.416086663
328	2.415853165
329	2.415546079
330	2.415194549
331	2.415012999
332	2.414660791
333	2.41425941
334	2.414071061
335	2.413619084
336	2.413426056
337	2.413138781
338	2.412955549
339	2.412748022
340	2.412458962
341	2.412129439
342	2.41189629
343	2.411747223
344	2.41135514
345	2.411051144
346	2.410754212
347	2.410396794
348	2.410001129
349	2.409806578
350	2.409432587
351	2.409178982
352	2.408982315
353	2.408699011
354	2.408436838
355	2.40815515
356	2.407882978
357	2.407685086
358	2.407435652
359	2.406991133
360	2.406652288
361	2.406515714
362	2.406179324
363	2.406058559
364	2.405930181
365	2.405619966
366	2.405399872
367	2.405184232
368	2.404860106
369	2.404414813
370	2.404167115
371	2.403843086
372	2.403379531
373	2.403027525
374	2.402742662
375	2.402184884
376	2.4019992
377	2.401732992
378	2.401354528
379	2.401142388
380	2.400860655
381	2.400456449
382	2.400061609
383	2.399839038
384	2.399667058
385	2.399351471
386	2.399055304
387	2.39874748
388	2.398462524
389	2.39828701
390	2.397895503
391	2.397478626
392	2.397187796
393	2.396964619
394	2.396806679
395	2.396445045
396	2.396102359
397	2.395869508
398	2.395663038
399	2.395376514
400	2.395141689
401	2.394636284
402	2.394151953
403	2.393901524
404	2.393650329
405	2.393421292
406	2.393286787
407	2.393086569
408	2.392711064
409	2.392385767
410	2.392139342
411	2.391914427
412	2.391671752
413	2.391457499
414	2.391028084
415	2.390727197
416	2.390406432
417	2.390169534
418	2.390015275
419	2.389659881
420	2.389245119
421	2.388966964
422	2.388696484
423	2.388510072
424	2.388333736
425	2.388057722
426	2.387603616
427	2.387174329
428	2.386873109
429	2.386535209
430	2.386262134
431	2.385928358
432	2.385643736
433	2.385463292
434	2.38519261
435	2.384982136
436	2.384831888
437	2.384618909
438	2.384480385
439	2.384219196
440	2.383972019
441	2.383686605
442	2.383575777
443	2.383314303
444	2.382924873
445	2.382752931
446	2.382531159
447	2.382273876
448	2.382106156
449	2.381871424
450	2.381646562
451	2.381260739
452	2.381090443
453	2.380944187
454	2.380649686
455	2.380369422
456	2.380196621
457	2.379939458
458	2.379661511
459	2.379449809
460	2.379192548
461	2.378739717
462	2.378569919
463	2.378096399
464	2.377905003
465	2.377722004
466	2.377439582
467	2.377046546
468	2.376907273
469	2.376712808
470	2.376564666
471	2.376326599
472	2.37612946
473	2.37593601
474	2.375662749
475	2.375522969
476	2.375307211
477	2.374911072
478	2.374675256
479	2.374528105
480	2.374348147
481	2.37410225
482	2.373845647
483	2.373667073
484	2.373431907
485	2.373247172
486	2.37306684
487	2.37276158
488	2.372607643
489	2.372442693
490	2.372127596
491	2.371847257
492	2.371532413
493	2.371332636
494	2.371049635
495	2.370847337
496	2.370626768
497	2.370420703
498	2.370231027
499	2.36976892
500	2.369631701
501	2.369435121
502	2.369190989
503	2.368907619
504	2.368626446
505	2.368446948
506	2.368126218
507	2.367851308
508	2.367583699
509	2.367164538
510	2.366953218
511	2.366555351
512	2.366411097
513	2.366188694
514	2.365925719
515	2.365723009
516	2.36548918
517	2.36534073
518	2.365001816
519	2.36482116
520	2.364559095
521	2.36440314
522	2.364194768
523	2.363920991
524	2.363517802
525	2.363236871
526	2.363058067
527	2.362856961
528	2.362716994
529	2.362363212
530	2.362156581
531	2.361974643
532	2.361828411
533	2.361672592
534	2.361437887
535	2.361152622
536	2.360916808
537	2.36051482
538	2.360393948
539	2.360175074
540	2.35987815
541	2.359492489
542	2.359359343
543	2.359055125
544	2.358665661
545	2.358191883
546	2.358045924
547	2.357923555
548	2.357782754
549	2.357566185
550	2.357275545
551	2.357156107
552	2.356818397
553	2.356724512
554	2.356479169
555	2.356296273
556	2.355958144
557	2.35572537
558	2.355535497
559	2.355358433
560	2.355172919
561	2.35494448
562	2.354527171
563	2.354275315
564	2.35407803
565	2.353812388
566	2.353669024
567	2.353379659
568	2.353259695
569	2.353044341
570	2.352845536
571	2.352536398
572	2.352409449
573	2.352230912
574	2.351783458
575	2.351493917
576	2.351367416
577	2.351144118
578	2.350837642
579	2.350414888
580	2.350229275
581	2.350089877
582	2.349842273
583	2.349466908
584	2.349126394
585	2.34894883
586	2.348833714
587	2.348603336
588	2.348279268
589	2.348140174
590	2.347993745
591	2.347706643
592	2.347553209
593	2.347273244
594	2.346920636
595	2.346711939
596	2.346526555
597	2.346181629
598	2.345966431
599	2.345837113
600	2.345601051
601	2.345429058
602	2.345260104
603	2.345094547
604	2.344771132
605	2.344621342
606	2.344480374
607	2.344314284
608	2.344032586
609	2.343748702
610	2.343472512
611	2.343307073
612	2.343061828
613	2.342967515
614	2.342560311
615	2.342395189
616	2.342177189
617	2.341994683
618	2.341689115
619	2.341504732
620	2.34135479
621	2.341205933
622	2.340897881
623	2.340836623
624	2.340609265
625	2.340385678
626	2.340235031
627	2.339995908
628	2.339581585
629	2.339355987
630	2.339182193
631	2.339070061
632	2.338854627
633	2.338614147
634	2.338492325
635	2.33823975
636	2.337927406
637	2.337724299
638	2.337394789
639	2.337095418
640	2.336581212
641	2.336452592
642	2.336283974
643	2.336157175
644	2.335855713
645	2.335737227
646	2.335374221
647	2.335134467
648	2.335023351
649	2.334760762
650	2.334480719
651	2.334312951
652	2.334212616
653	2.334058706
654	2.33372196
655	2.33358854
656	2.333260817
657	2.333099109
658	2.33293112
659	2.332596637
660	2.332458165
661	2.332320474
662	2.332179221
663	2.332057186
664	2.331964807
665	2.331831144
666	2.331737213
667	2.331422113
668	2.331159431
669	2.330975232
670	2.330656103
671	2.330458099
672	2.330267296
673	2.330058069
674	2.329678447
675	2.329441865
676	2.329321529
677	2.329088999
678	2.328732812
679	2.328622527
680	2.328514165
681	2.328354519
682	2.328161037
683	2.328077408
684	2.32798904
685	2.327850236
686	2.327669622
687	2.327353118
688	2.327096426
689	2.326824374
690	2.326609136
691	2.32633725
692	2.32623227
693	2.326100164
694	2.325885902
695	2.325761267
696	2.325397684
697	2.32521932
698	2.324947666
699	2.324768285
700	2.324670985
701	2.324437698
702	2.324252004
703	2.324006323
704	2.323793283
705	2.323525828
706	2.323410682
707	2.323107683
708	2.322934103
709	2.322650955
710	2.322523795
711	2.322157968
712	2.321982688
713	2.321635701
714	2.32152259
715	2.321251144
716	2.321110029
717	2.320770083
718	2.320612529
719	2.320454488
720	2.320360824
721	2.320043667
722	2.319920434
723	2.319816864
724	2.319632963
725	2.319455326
726	2.319285618
727	2.319114289
728	2.319030446
729	2.318767083
730	2.318560591
731	2.318503124
732	2.318367439
733	2.318271375
734	2.317904813
735	2.31758335
736	2.317286134
737	2.317103072
738	2.316838929
739	2.316689755
740	2.31663811
741	2.316376557
742	2.316322861
743	2.316176892
744	2.315985524
745	2.315692985
746	2.315442157
747	2.315278357
748	2.315060887
749	2.31483838
750	2.314750932
751	2.31461128
752	2.314513843
753	2.314258773
754	2.313942056
755	2.313816773
756	2.313532957
757	2.313338722
758	2.313188955
759	2.312881098
760	2.312655204
761	2.312302927
762	2.312259402
763	2.312168993
764	2.311896293
765	2.311808811
766	2.311665484
767	2.311425149
768	2.311051971
769	2.310912234
770	2.310868949
771	2.310692721
772	2.310635603
773	2.310477931
774	2.31025341
775	2.309950642
776	2.309767813
777	2.309511539
778	2.309365208
779	2.30920669
780	2.309124275
781	2.309025892
782	2.308833907
783	2.308688874
784	2.308553306
785	2.308418236
786	2.308161954
787	2.307943319
788	2.307795469
789	2.307547541
790	2.307263834
791	2.307167689
792	2.30701837
793	2.306779707
794	2.306496377
795	2.306328585
796	2.306162415
797	2.306014778
798	2.305730901
799	2.305627138
800	2.305418134
801	2.305181637
802	2.305010005
803	2.304644575
804	2.304491537
805	2.304392305
806	2.304215652
807	2.303966469
808	2.303750214
809	2.303695596
810	2.30358739
811	2.30343253
812	2.303267024
813	2.303062648
814	2.302862915
815	2.302757459
816	2.302526481
817	2.302321127
818	2.302168836
819	2.301954258
820	2.301708926
821	2.301510055
822	2.30130327
823	2.301138606
824	2.300789613
825	2.300678995
826	2.300596551
827	2.300535974
828	2.300240974
829	2.300070022
830	2.299985444
831	2.299792364
832	2.299594561
833	2.299508647
834	2.299336876
835	2.299289619
836	2.299101558
837	2.298897009
838	2.29864164
839	2.298530401
840	2.298361472
841	2.298275486
842	2.298191927
843	2.298086954
844	2.297833015
845	2.297519636
846	2.297409423
847	2.297146194
848	2.296998714
849	2.296825856
850	2.296603943
851	2.296478173
852	2.296325573
853	2.296240864
854	2.296035404
855	2.295841002
856	2.295762105
857	2.295631815
858	2.295533339
859	2.295320162
860	2.295161141
861	2.295069526
862	2.294991301
863	2.294866501
864	2.294711345
865	2.29455855
866	2.294318867
867	2.294179144
868	2.294071801
869	2.293870891
870	2.2937443
871	2.293610321
872	2.293350183
873	2.293242877
874	2.293047439
875	2.29287781
876	2.292599041
877	2.29237272
878	2.292294068
879	2.292184192
880	2.291908215
881	2.291754329
882	2.291633937
883	2.291481144
884	2.291291496
885	2.29107286
886	2.290839179
887	2.29069758
888	2.290529101
889	2.290338219
890	2.290176518
891	2.290029345
892	2.289808486
893	2.289602368
894	2.289499331
895	2.289355622
896	2.288924831
897	2.288748452
898	2.288626816
899	2.288448652
900	2.288247887
901	2.288102131
902	2.28796279
903	2.287775196
904	2.287501576
905	2.287403091
906	2.287207318
907	2.287003249
908	2.286968662
909	2.286880988
910	2.286780716
911	2.286632686
912	2.286408684
913	2.286279084
914	2.286008813
915	2.285797275
916	2.28565365
917	2.285571608
918	2.285434114
919	2.285273181
920	2.285171256
921	2.285109491
922	2.284912472
923	2.284877796
924	2.284721443
925	2.284598733
926	2.284453334
927	2.284211462
928	2.284065044
929	2.283865225
930	2.283735035
931	2.283665351
932	2.283524568
933	2.283452537
934	2.283224622
935	2.283015804
936	2.282897849
937	2.282732839
938	2.282465277
939	2.282229089
940	2.282057145
941	2.281849102
942	2.281659158
943	2.281574845
944	2.281410046
945	2.281345603
946	2.281245207
947	2.281042534
948	2.280837824
949	2.280654088
950	2.280573167
951	2.280417157
952	2.280295604
953	2.280169776
954	2.280050815
955	2.279985437
956	2.279705003
957	2.279632479
958	2.27954013
959	2.279317285
960	2.279234757
961	2.279095575
962	2.278814413
963	2.278697008
964	2.27852565
965	2.278334233
966	2.277991276
967	2.277733861
968	2.277643636
969	2.277429268
970	2.277355037
971	2.277240311
972	2.277018596
973	2.276795151
974	2.276587781
975	2.276472878
976	2.276294627
977	2.27620109
978	2.276095305
979	2.275984868
980	2.275849638
981	2.275608047
982	2.275443737
983	2.275140055
984	2.275037075
985	2.274920256
986	2.274752691
987	2.274632353
988	2.274516837
989	2.274351068
990	2.274181554
991	2.274087793
992	2.273845951
993	2.273715493
994	2.273567516
995	2.273446183
996	2.273266092
997	2.273103825
998	2.272844824
999	2.272744001
